Site,Species,Hunted,site.sp
CSN,Leopardus wiedii,Yes,Leopardus wiedii-CSN
CSN,Leptotila rufaxilla,Unknown,Leptotila rufaxilla-CSN
CSN,Mazama americana,Yes,Mazama americana-CSN
CSN,Mazama gouazoubira,Yes,Mazama gouazoubira-CSN
CSN,Mazama nemorivaga,Yes,Mazama nemorivaga-CSN
CSN,Metachirus nudicaudatus,No,Metachirus nudicaudatus-CSN
CSN,Myoprocta acouchy,Yes,Myoprocta acouchy-CSN
CSN,Myrmecophaga tridactyla,Yes,Myrmecophaga tridactyla-CSN
CSN,Nasua nasua,No,Nasua nasua-CSN
CSN,Odocoileus virginianus,Yes,Odocoileus virginianus-CSN
CSN,Odontophorus gujanensis,Unknown,Odontophorus gujanensis-CSN
CSN,Panthera onca,Yes,Panthera onca-CSN
CSN,Pecari tajacu,Yes,Pecari tajacu-CSN
CSN,Penelope jacquacu,No,Penelope jacquacu-CSN
CSN,Philander opossum,No,Philander opossum-CSN
CSN,Priodontes maximus,Yes,Priodontes maximus-CSN
CSN,Procyon cancrivorus,No,Procyon cancrivorus-CSN
CSN,Proechimys cuvieri,No,Proechimys cuvieri-CSN
CSN,Proechimys guyannensis,No,Proechimys guyannensis-CSN
CSN,Proechimys steerei,No,Proechimys steerei-CSN
CSN,Psophia crepitans,Yes,Psophia crepitans-CSN
CSN,Puma concolor,Yes,Puma concolor-CSN
CSN,Puma yagouaroundi,Yes,Puma yagouaroundi-CSN
CSN,Speothos venaticus,No,Speothos venaticus-CSN
CSN,Tamandua tetradactyla,Yes,Tamandua tetradactyla-CSN
CSN,Tapirus terrestris,Yes,Tapirus terrestris-CSN
CSN,Tayassu pecari,Yes,Tayassu pecari-CSN
CSN,Tinamus major,Yes,Tinamus major-CSN
KRP,Agelastes niger,Unknown,Agelastes niger-KRP
KRP,Atherurus africanus,Yes,Atherurus africanus-KRP
KRP,Atilax paludinosus,Yes,Atilax paludinosus-KRP
KRP,Bdeogale nigripes,Yes,Bdeogale nigripes-KRP
KRP,Canirallus oculeus,No,Canirallus oculeus-KRP
KRP,Cephalophus ogilbyi,Yes,Cephalophus ogilbyi-KRP
KRP,Cephalophus silvicultor,Yes,Cephalophus silvicultor-KRP
KRP,Cercocebus torquatus,Yes,Cercocebus torquatus-KRP
KRP,Cercopithecus nictitans,Yes,Cercopithecus nictitans-KRP
KRP,Civettictis civetta,Yes,Civettictis civetta-KRP
KRP,Cricetomys emini,Yes,Cricetomys emini-KRP
KRP,Crossarchus obscurus,Yes,Crossarchus obscurus-KRP
KRP,Francolinus lathami,No,Francolinus lathami-KRP
KRP,Funisciurus anerythrus,Unknown,Funisciurus anerythrus-KRP
KRP,Funisciurus leucogenys,Unknown,Funisciurus leucogenys-KRP
KRP,Funisciurus pyrropus,Unknown,Funisciurus pyrropus-KRP
KRP,Genetta servalina,Yes,Genetta servalina-KRP
KRP,Herpestes naso,Yes,Herpestes naso-KRP
KRP,Himantornis haematopus,No,Himantornis haematopus-KRP
KRP,Hyemoschus aquaticus,Yes,Hyemoschus aquaticus-KRP
KRP,Loxodonta africana,Yes,Loxodonta africana-KRP
KRP,Mandrillus leucophaeus,Yes,Mandrillus leucophaeus-KRP
KRP,Nandinia binotata,Yes,Nandinia binotata-KRP
KRP,Phataginus tricuspis,Yes,Phataginus tricuspis-KRP
KRP,Philantomba monticola,Yes,Philantomba monticola-KRP
KRP,Picathartes oreas,Unknown,Picathartes oreas-KRP
KRP,Potamochoerus porcus,Yes,Potamochoerus porcus-KRP
KRP,Thryonomys swinderianus,Yes,Thryonomys swinderianus-KRP
KRP,Turtur brehmeri,No,Turtur brehmeri-KRP
NAK,Arborophila chloropus,Yes,Arborophila chloropus-NAK
NAK,Arctictis binturong,Yes,Arctictis binturong-NAK
NAK,Arctonyx collaris,Yes,Arctonyx collaris-NAK
NAK,Atherurus macrourus,Yes,Atherurus macrourus-NAK
NAK,Capricornis milneedwardsii,Yes,Capricornis milneedwardsii-NAK
NAK,Cuon alpinus,Unknown,Cuon alpinus-NAK
NAK,Francolinus pintadeanus,Yes,Francolinus pintadeanus-NAK
NAK,Gallus gallus,Yes,Gallus gallus-NAK
NAK,Herpestes urva,Unknown,Herpestes urva-NAK
NAK,Hystrix brachyura,Yes,Hystrix brachyura-NAK
NAK,Leopoldamys sabanus,Yes,Leopoldamys sabanus-NAK
NAK,Lophura diardi,Yes,Lophura diardi-NAK
NAK,Lophura nycthemera,Yes,Lophura nycthemera-NAK
NAK,Macaca arctoides,Yes,Macaca arctoides-NAK
NAK,Macaca assamensis,Yes,Macaca assamensis-NAK
NAK,Macaca leonina,Yes,Macaca leonina-NAK
NAK,Manis javanica,Yes,Manis javanica-NAK
NAK,Martes flavigula,Unknown,Martes flavigula-NAK
