sp,site,median.coeff,ind95,ind80,cont,rls,mass,class,guild,sitesp,nyears,ActivityCycle,AdultBodyMass_g,DietBreadth,LitterSize,TrophicLevel,GR_Area_km2,Category,T75_Loss_SampleArea_Ha,T75_Loss_SampleArea_Pct,T75_Loss_SampleArea_Ha_Round,T75_Loss_SampleArea_Pct_Round,T75_Loss_ZOI_Ha,T75_Loss_ZOI_Pct,T75_Loss_ZOI_Ha_Round,T75_Loss_ZOI_Pct_Round,protection,poaching
Cuniculus paca,MAN,-0.470003629,stable,stable,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca.Manaus,2,1,8172.55,5,1.01,1,12381979.8,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Cuniculus paca,VB,-0.326715531,decreasing,decreasing,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca.Volc͍n Barva,7,1,8172.55,5,1.01,1,12381979.8,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,2,3.5
Cuniculus paca,YAN,0.22681957,stable,increasing,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca.Yanachaga Chimillͩn National Park,3,1,8172.55,5,1.01,1,12381979.8,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,1,1
Cuniculus paca,YAS,0.101182696,stable,stable,LA,LC,8000,MAMMALIA,Herbivore,Cuniculus paca.Yasuni,3,1,8172.55,5,1.01,1,12381979.8,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Cuon alpinus,BBS,-0.423216072,stable,stable,AS,EN,12760,MAMMALIA,Carnivore,Cuon alpinus.Bukit Barisan,4,2,15800,1,4.3,3,10546280.1,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Cuon alpinus,NAK,0.425039756,stable,stable,AS,EN,12760,MAMMALIA,Carnivore,Cuon alpinus.Nam Kading,4,2,15800,1,4.3,3,10546280.1,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Cuon alpinus,PSH,-0.843476913,stable,stable,AS,EN,12760,MAMMALIA,Carnivore,Cuon alpinus.Pasoh Forest Reserve,3,2,15800,1,4.3,3,10546280.1,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Cynogale bennettii,BBS,-0.13571061,stable,stable,AS,EN,4500,MAMMALIA,Carnivore,Cynogale bennettii.Bukit Barisan,4,2,4246.57,6,2.3,2,170977.09,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Dasyprocta fuliginosa,YAN,0.073033831,stable,stable,LA,LC,3500,MAMMALIA,Herbivore,Dasyprocta fuliginosa.Yanachaga Chimillͩn National Park,3,3,3500.02,3,NA,1,2578681.32,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,1,1
Dasyprocta fuliginosa,YAS,-0.263688994,stable,decreasing,LA,LC,3500,MAMMALIA,Herbivore,Dasyprocta fuliginosa.Yasuni,3,3,3500.02,3,NA,1,2578681.32,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Dasyprocta leporina,CAX,-0.804514314,decreasing,decreasing,LA,LC,3020,MAMMALIA,Herbivore,Dasyprocta leporina.Caxiuanͣ,3,3,3009.99,3,1.4,1,5296263.55,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Dasyprocta leporina,CSN,-0.070996189,stable,stable,LA,LC,3020,MAMMALIA,Herbivore,Dasyprocta leporina.Central Suriname Nature Reserve,5,3,3009.99,3,1.4,1,5296263.55,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Dasyprocta leporina,MAN,0.589327498,stable,stable,LA,LC,3020,MAMMALIA,Herbivore,Dasyprocta leporina.Manaus,2,3,3009.99,3,1.4,1,5296263.55,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Dasyprocta punctata,BCI,-0.817453805,decreasing,decreasing,LA,LC,2675,MAMMALIA,Herbivore,Dasyprocta punctata.Barro Colorado Nature Monument - Soberania National Park,4,3,2309.12,3,1.25,1,2516292.24,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Dasyprocta punctata,COU,0.219156486,stable,increasing,LA,LC,2675,MAMMALIA,Herbivore,Dasyprocta punctata.Cocha Cashu - Manu National Park,3,3,2309.12,3,1.25,1,2516292.24,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Dasyprocta punctata,VB,-0.178358483,decreasing,decreasing,LA,LC,2675,MAMMALIA,Herbivore,Dasyprocta punctata.Volc͍n Barva,7,3,2309.12,3,1.25,1,2516292.24,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,2,3.5
Dasypus kappleri,CAX,0.100195065,stable,increasing,LA,LC,9500,MAMMALIA,Herbivore,Dasypus kappleri.Caxiuanͣ,3,2,9702.83,4,4.47,2,4937797.17,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Dasypus kappleri,CSN,-0.710085085,decreasing,decreasing,LA,LC,9500,MAMMALIA,Herbivore,Dasypus kappleri.Central Suriname Nature Reserve,5,2,9702.83,4,4.47,2,4937797.17,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Dasypus kappleri,COU,0.242161859,stable,stable,LA,LC,9500,MAMMALIA,Herbivore,Dasypus kappleri.Cocha Cashu - Manu National Park,3,2,9702.83,4,4.47,2,4937797.17,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Dasypus kappleri,YAN,-1.175900812,decreasing,decreasing,LA,LC,9500,MAMMALIA,Herbivore,Dasypus kappleri.Yanachaga Chimillͩn National Park,3,2,9702.83,4,4.47,2,4937797.17,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,1,1
Dasypus kappleri,YAS,0.658483545,stable,stable,LA,LC,9500,MAMMALIA,Herbivore,Dasypus kappleri.Yasuni,3,2,9702.83,4,4.47,2,4937797.17,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Dasypus novemcinctus,BCI,-0.155789281,stable,decreasing,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus.Barro Colorado Nature Monument - Soberania National Park,4,2,3949.01,5,3.96,2,17080218.63,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Dasypus novemcinctus,CAX,0.035455616,stable,stable,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus.Caxiuanͣ,3,2,3949.01,5,3.96,2,17080218.63,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Dasypus novemcinctus,CSN,0.140800536,stable,increasing,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus.Central Suriname Nature Reserve,5,2,3949.01,5,3.96,2,17080218.63,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Dasypus novemcinctus,COU,0.108849361,stable,stable,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus.Cocha Cashu - Manu National Park,3,2,3949.01,5,3.96,2,17080218.63,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Dasypus novemcinctus,MAN,-1.128657467,stable,decreasing,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus.Manaus,2,2,3949.01,5,3.96,2,17080218.63,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Dasypus novemcinctus,VB,-0.110618016,decreasing,decreasing,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus.Volc͍n Barva,7,2,3949.01,5,3.96,2,17080218.63,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,2,3.5
Dasypus novemcinctus,YAN,0.036372879,stable,stable,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus.Yanachaga Chimillͩn National Park,3,2,3949.01,5,3.96,2,17080218.63,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,1,1
Dasypus novemcinctus,YAS,-0.369972839,decreasing,decreasing,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus.Yasuni,3,2,3949.01,5,3.96,2,17080218.63,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Didelphis marsupialis,BCI,0.088590772,stable,stable,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis.Barro Colorado Nature Monument - Soberania National Park,4,1,1134.75,3,7.09,2,7324303.06,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Didelphis marsupialis,CAX,0.268263987,stable,increasing,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis.Caxiuanͣ,3,1,1134.75,3,7.09,2,7324303.06,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Didelphis marsupialis,CSN,0.091086016,stable,stable,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis.Central Suriname Nature Reserve,5,1,1134.75,3,7.09,2,7324303.06,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Didelphis marsupialis,COU,-0.243200242,stable,stable,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis.Cocha Cashu - Manu National Park,3,1,1134.75,3,7.09,2,7324303.06,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Didelphis marsupialis,MAN,-0.536527973,stable,stable,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis.Manaus,2,1,1134.75,3,7.09,2,7324303.06,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Didelphis marsupialis,VB,-0.163947258,stable,decreasing,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis.Volc͍n Barva,7,1,1134.75,3,7.09,2,7324303.06,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,2,3.5
Didelphis marsupialis,YAN,1.185012395,increasing,increasing,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis.Yanachaga Chimillͩn National Park,3,1,1134.75,3,7.09,2,7324303.06,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,1,1
Didelphis marsupialis,YAS,1.709390151,increasing,increasing,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis.Yasuni,3,1,1134.75,3,7.09,2,7324303.06,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Didelphis virginiana,VB,0.434026634,stable,increasing,LA,LC,2442,MAMMALIA,Omnivore,Didelphis virginiana.Volc͍n Barva,7,1,2442.08,4,8.62,2,5696037.14,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,2,3.5
Echinosorex gymnura,BBS,0.360235057,increasing,increasing,AS,LC,957,MAMMALIA,Insectivore,Echinosorex gymnura.Bukit Barisan,4,2,756.53,3,1.9,2,1374526.86,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Echinosorex gymnura,PSH,-0.313325238,stable,stable,AS,LC,957,MAMMALIA,Insectivore,Echinosorex gymnura.Pasoh Forest Reserve,3,2,756.53,3,1.9,2,1374526.86,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Eira barbara,BCI,0.238353092,stable,increasing,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara.Barro Colorado Nature Monument - Soberania National Park,4,2,4134.99,2,2.14,2,13411787.9,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Eira barbara,CAX,0.203745293,stable,stable,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara.Caxiuanͣ,3,2,4134.99,2,2.14,2,13411787.9,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Eira barbara,CSN,-0.275833345,decreasing,decreasing,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara.Central Suriname Nature Reserve,5,2,4134.99,2,2.14,2,13411787.9,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Eira barbara,COU,0.372968238,stable,increasing,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara.Cocha Cashu - Manu National Park,3,2,4134.99,2,2.14,2,13411787.9,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Eira barbara,MAN,0.505847362,stable,stable,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara.Manaus,2,2,4134.99,2,2.14,2,13411787.9,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Eira barbara,VB,0.093002748,stable,stable,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara.Volc͍n Barva,7,2,4134.99,2,2.14,2,13411787.9,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,2,3.5
Eira barbara,YAN,0.219410868,stable,stable,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara.Yanachaga Chimillͩn National Park,3,2,4134.99,2,2.14,2,13411787.9,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,1,1
Eira barbara,YAS,0.202094826,stable,stable,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara.Yasuni,3,2,4134.99,2,2.14,2,13411787.9,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Elephas maximus,BBS,0.430611465,stable,stable,AS,EN,2720000,MAMMALIA,Herbivore,Elephas maximus.Bukit Barisan,4,2,3269794.34,3,1.41,1,1429082.59,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Eulemur rufifrons,RNF,-0.124645337,stable,stable,AF,NT,300,MAMMALIA,Herbivore,Eulemur rufifrons.Ranomafana,3,NA,NA,NA,NA,NA,NA,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,2,3
Eupleres goudotii,RNF,-0.294172978,stable,stable,AF,NT,1500,MAMMALIA,Carnivore,Eupleres goudotii.Ranomafana,3,2,2763.34,6,1,2,111808.26,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,2,3
Fossa fossana,RNF,0.074137963,stable,stable,AF,NT,218,MAMMALIA,Carnivore,Fossa fossana.Ranomafana,3,1,1853.98,6,1,2,106522.05,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,2,3
Francolinus africanus,NNN,-0.794824182,stable,stable,AF,LC,426,AVES,Herbivore,Francolinus africanus.Nouabalͩ Ndoki,4,NA,NA,NA,NA,NA,NA,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Francolinus lathami,KRP,0.635988767,stable,increasing,AF,LC,269,AVES,Herbivore,Francolinus lathami.Korup National Park,2,NA,NA,NA,NA,NA,NA,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Francolinus lathami,NNN,0.078451999,stable,stable,AF,LC,269,AVES,Herbivore,Francolinus lathami.Nouabalͩ Ndoki,4,NA,NA,NA,NA,NA,NA,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Francolinus nobilis,BIF,0.219626174,stable,increasing,AF,LC,757,AVES,Herbivore,Francolinus nobilis.Bwindi Impenetrable Forest,4,NA,NA,NA,NA,NA,NA,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Francolinus pintadeanus,NAK,-0.426880056,stable,stable,AS,LC,340,AVES,Herbivore,Francolinus pintadeanus.Nam Kading,4,NA,NA,NA,NA,NA,NA,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Francolinus squamatus,UDZ,0.088932239,stable,stable,AF,LC,472,AVES,Herbivore,Francolinus squamatus.Udzungwa,5,NA,NA,NA,NA,NA,NA,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Funisciurus anerythrus,KRP,0.437900384,stable,increasing,AF,LC,286,MAMMALIA,Herbivore,Funisciurus anerythrus.Korup National Park,2,3,223.54,1,1.32,1,4317247.49,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Funisciurus lemniscatus,NNN,-1.527346068,decreasing,decreasing,AF,LC,250,MAMMALIA,Herbivore,Funisciurus lemniscatus.Nouabalͩ Ndoki,4,3,140.99,2,1.8,2,1103962.08,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Funisciurus leucogenys,KRP,-0.693147181,decreasing,decreasing,AF,LC,297,MAMMALIA,Herbivore,Funisciurus leucogenys.Korup National Park,2,NA,250,NA,0.97,NA,530067.11,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Funisciurus pyrropus,KRP,-1.869924242,decreasing,decreasing,AF,LC,3200,MAMMALIA,Herbivore,Funisciurus pyrropus.Korup National Park,2,3,243.18,1,1.26,1,3542071.4,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Funisciurus pyrropus,NNN,-0.425039756,stable,stable,AF,LC,3200,MAMMALIA,Herbivore,Funisciurus pyrropus.Nouabalͩ Ndoki,4,3,243.18,1,1.26,1,3542071.4,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Galictis vittata,BCI,0.423216072,stable,stable,LA,LC,3200,MAMMALIA,Carnivore,Galictis vittata.Barro Colorado Nature Monument - Soberania National Park,4,NA,NA,NA,NA,NA,10078448.48,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Galictis vittata,YAS,-0.843476913,stable,stable,LA,LC,3200,MAMMALIA,Carnivore,Galictis vittata.Yasuni,3,NA,NA,NA,NA,NA,10078448.48,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Galidia elegans,RNF,-0.937820024,decreasing,decreasing,AF,LC,800,MAMMALIA,Carnivore,Galidia elegans.Ranomafana,3,2,810,6,1,2,120561.29,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,2,3
Galidictis fasciata,RNF,0.516330969,stable,increasing,AF,NT,550,MAMMALIA,Carnivore,Galidictis fasciata.Ranomafana,3,2,549.99,2,1,3,87237.59,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,2,3
Gallus gallus,BBS,0.205756199,stable,stable,AS,LC,914,AVES,Omnivore,Gallus gallus.Bukit Barisan,4,NA,NA,NA,NA,NA,NA,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Gallus gallus,NAK,-0.279270407,stable,stable,AS,LC,914,AVES,Omnivore,Gallus gallus.Nam Kading,4,NA,NA,NA,NA,NA,NA,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Gallus gallus,PSH,-1.96E-16,stable,stable,AS,LC,914,AVES,Omnivore,Gallus gallus.Pasoh Forest Reserve,3,NA,NA,NA,NA,NA,NA,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Genetta servalina,BIF,-0.468178957,stable,decreasing,AF,LC,1055,MAMMALIA,Carnivore,Genetta servalina.Bwindi Impenetrable Forest,4,1,1175.84,6,1.5,2,3667035.54,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Genetta servalina,KRP,-3.94E-16,stable,stable,AF,LC,1055,MAMMALIA,Carnivore,Genetta servalina.Korup National Park,2,1,1175.84,6,1.5,2,3667035.54,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Genetta servalina,NNN,1.010377909,increasing,increasing,AF,LC,1055,MAMMALIA,Carnivore,Genetta servalina.Nouabalͩ Ndoki,4,1,1175.84,6,1.5,2,3667035.54,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Genetta servalina,UDZ,-0.412542365,stable,decreasing,AF,LC,1055,MAMMALIA,Carnivore,Genetta servalina.Udzungwa,5,1,1175.84,6,1.5,2,3667035.54,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Genetta tigrina,NNN,-1.224761238,decreasing,decreasing,AF,LC,2225,MAMMALIA,Carnivore,Genetta tigrina.Nouabalͩ Ndoki,4,1,2066.57,6,2.76,2,587510.9,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Geotrygon frenata,YAN,0.313325238,stable,stable,LA,LC,305,AVES,Omnivore,Geotrygon frenata.Yanachaga Chimillͩn National Park,3,NA,NA,NA,NA,NA,NA,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,1,1
Geotrygon montana,BCI,-0.163789574,stable,stable,LA,LC,280,AVES,Omnivore,Geotrygon montana.Barro Colorado Nature Monument - Soberania National Park,4,NA,NA,NA,NA,NA,NA,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,2,3.5
Geotrygon montana,CAX,0.853078619,increasing,increasing,LA,LC,280,AVES,Omnivore,Geotrygon montana.Caxiuanͣ,3,NA,NA,NA,NA,NA,NA,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,1,2
Geotrygon montana,CSN,-1.506324443,decreasing,decreasing,LA,LC,280,AVES,Omnivore,Geotrygon montana.Central Suriname Nature Reserve,5,NA,NA,NA,NA,NA,NA,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Geotrygon montana,COU,1.4421822,increasing,increasing,LA,LC,280,AVES,Omnivore,Geotrygon montana.Cocha Cashu - Manu National Park,3,NA,NA,NA,NA,NA,NA,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Geotrygon montana,MAN,2.024381764,increasing,increasing,LA,LC,280,AVES,Omnivore,Geotrygon montana.Manaus,2,NA,NA,NA,NA,NA,NA,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,3,2
Geotrygon montana,YAS,-0.589666347,decreasing,decreasing,LA,LC,280,AVES,Omnivore,Geotrygon montana.Yasuni,3,NA,NA,NA,NA,NA,NA,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,3,4
Geotrygon violacea,CSN,-0.431010132,decreasing,decreasing,LA,LC,190,AVES,Omnivore,Geotrygon violacea.Central Suriname Nature Reserve,5,NA,NA,NA,NA,NA,NA,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,3,5
Geotrygon violacea,COU,-0.750980229,stable,stable,LA,LC,190,AVES,Omnivore,Geotrygon violacea.Cocha Cashu - Manu National Park,3,NA,NA,NA,NA,NA,NA,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,1,1
Gorilla beringei,BIF,-0.161785728,stable,stable,AF,EN,124251,MAMMALIA,Herbivore,Gorilla beringei.Bwindi Impenetrable Forest,4,NA,149325.19,NA,NA,NA,107960.27,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Gorilla gorilla,NNN,-0.81457607,stable,decreasing,AF,CR,180000,MAMMALIA,Herbivore,Gorilla gorilla.Nouabalͩ Ndoki,4,3,112588.99,3,1.05,2,625702.71,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Guttera plumifera,NNN,-0.4440492,decreasing,decreasing,AF,LC,1200,AVES,Omnivore,Guttera plumifera.Nouabalͩ Ndoki,4,NA,NA,NA,NA,NA,NA,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Guttera pucherani,BIF,0.025327255,stable,stable,AF,LC,1200,AVES,Omnivore,Guttera pucherani.Bwindi Impenetrable Forest,4,NA,NA,NA,NA,NA,NA,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,2,3
Guttera pucherani,UDZ,0.152592504,stable,stable,AF,LC,1200,AVES,Omnivore,Guttera pucherani.Udzungwa,5,NA,NA,NA,NA,NA,NA,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,1,3
Helarctos malayanus,BBS,-0.192405072,stable,stable,AS,VU,47000,MAMMALIA,Omnivore,Helarctos malayanus.Bukit Barisan,4,1,57075.78,3,1.1,1,2525372.13,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Helarctos malayanus,PSH,-0.340079484,stable,stable,AS,VU,47000,MAMMALIA,Omnivore,Helarctos malayanus.Pasoh Forest Reserve,3,1,57075.78,3,1.1,1,2525372.13,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Hemicentetes nigriceps,RNF,-0.862930592,stable,decreasing,AF,LC,1.00E+05,MAMMALIA,Carnivore,Hemicentetes nigriceps.Ranomafana,3,2,102.99,1,2.84,3,4457.41,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,2,3
Hemicentetes semispinosus,RNF,3.70E-16,stable,stable,AF,LC,138,MAMMALIA,Carnivore,Hemicentetes semispinosus.Ranomafana,3,2,134,1,5.32,3,97855.43,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,2,3
Hemigalus derbyanus,BBS,0.354204394,increasing,increasing,AS,VU,2000,MAMMALIA,Carnivore,Hemigalus derbyanus.Bukit Barisan,4,1,1262.7,6,1.73,2,1431386.4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Hemigalus derbyanus,PSH,0.207022272,stable,stable,AS,VU,2000,MAMMALIA,Carnivore,Hemigalus derbyanus.Pasoh Forest Reserve,3,1,1262.7,6,1.73,2,1431386.4,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Herpestes brachyurus,BBS,0.428737211,stable,stable,AS,LC,2000,MAMMALIA,Carnivore,Herpestes brachyurus.Bukit Barisan,4,1,1396.16,1,3.49,3,1313618.8,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,2,3
Herpestes brachyurus,PSH,-0.332352596,stable,stable,AS,LC,2000,MAMMALIA,Carnivore,Herpestes brachyurus.Pasoh Forest Reserve,3,1,1396.16,1,3.49,3,1313618.8,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,3,4
Herpestes naso,KRP,0.308947563,stable,stable,AF,LC,3000,MAMMALIA,Omnivore,Herpestes naso.Korup National Park,2,1,3002.08,1,NA,3,2499072.82,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
Herpestes naso,NNN,-1.424632463,decreasing,decreasing,AF,LC,3000,MAMMALIA,Omnivore,Herpestes naso.Nouabalͩ Ndoki,4,1,3002.08,1,NA,3,2499072.82,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,2,1
Herpestes urva,NAK,0.432503066,increasing,increasing,AS,LC,1863,MAMMALIA,Carnivore,Herpestes urva.Nam Kading,4,1,2384.19,6,3,2,3243514.37,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,2,5
Himantornis haematopus,KRP,-2.264139916,stable,stable,AF,LC,390,AVES,Omnivore,Himantornis haematopus.Korup National Park,2,NA,NA,NA,NA,NA,NA,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,3,5
